song_key,show_key,song_name,song_set,song_track,song_segue,song_notes,song_cover,song_with_guest
04xk1ua8,xrv9xc8,"Moon Socket",Encore,30,NULL,NULL,NULL,"Richard Devine"
052fgatg,ajo2rc2,Kamuy,"Set 1",2,NULL,NULL,NULL,NULL
05a94j3w,ip4g3sf,Hi-Key,"Set 1",7,NULL,NULL,NULL,NULL
05ah5kwy,c5qkrbp,"Move My Peeps","Set 1",9,>,NULL,NULL,NULL
05aus1tw,fva2ois,Tokyo,"Set 2",12,NULL,NULL,NULL,NULL
05bkyly4,k7zmwen,Kamuy,"Set 2",14,NULL,NULL,NULL,NULL
05c73vaj,udwerm3,"This, Us","Set 1",6,NULL,NULL,NULL,NULL
05hgycam,xz6huqy,"One a Day","Set 1",2,NULL,NULL,NULL,NULL
05klvkbm,t79a2mi,EB,"Set 2",18,NULL,NULL,NULL,NULL
05kwaqec,lt5babl,Instantly,Encore,20,NULL,NULL,NULL,NULL
05n40ai6,hs08lgq,"Really What?","Set 1",1,NULL,NULL,NULL,NULL
05q9tnjs,owh0mtl,"Open E","Set 1",2,NULL,NULL,NULL,NULL
05vg5mq0,2q8vasa,Satori,"Set 2",10,NULL,NULL,NULL,NULL
05vrtrjb,ydij621,ABCees,"Set 1",5,NULL,NULL,NULL,NULL
05vrzfdg,wr7harq,"Moon Socket",Encore,16,NULL,acoustic,NULL,NULL
05ye1ndc,6atouro,"Be Nice","Set 1",1,NULL,NULL,NULL,NULL
05z5i7mk,7ee7hfa,"World Go Round","Set 2",15,NULL,NULL,NULL,NULL
060moyxu,e0xg2ie,ReEmergence,"Set 2",11,NULL,NULL,NULL,NULL
062rqxuj,qcgvoy3,"Blu Mood","Set 1",3,NULL,NULL,NULL,NULL
0630jcva,6nfbey6,Vapors,"Set 1",1,NULL,NULL,NULL,NULL
064ffp4i,xvygydw,Surreality,"Set 2",8,>,NULL,NULL,NULL
065afc9f,ategwo3,Circus,"Set 2",17,NULL,NULL,NULL,NULL
06c88zat,ylidh8z,"When the Dust Settles Reprise","Set 2",11,>,NULL,NULL,NULL
06iz1ha6,jxgmll2,"From Now On","Set 2",14,NULL,NULL,NULL,NULL
06kic2yl,t79a2mi,Kaya,"Set 1",5,NULL,NULL,NULL,NULL
06os89os,kvxzl3z,ABCees,"Set 1",7,NULL,NULL,NULL,NULL
06p684na,5piq4gy,March,"Set 2",17,NULL,NULL,NULL,NULL
06sz24ut,5646l1x,"For My Peeps","Set 1",5,NULL,NULL,NULL,NULL
06uspnjk,kr37c6k,Scheme,"Set 2",19,NULL,NULL,NULL,NULL
06yxhtsl,d3iiexe,ReEmergence,"Set 1",4,NULL,NULL,NULL,NULL
06z00arf,9jkw28d,Pianoir,"Set 2",12,NULL,NULL,NULL,NULL
071bxm1c,pzyjvta,"Golden Gate","Set 1",3,NULL,NULL,NULL,NULL
073yfq6p,ha3mp9n,"NIN Intro","Set 2",14,NULL,NULL,NULL,NULL
07b02ho9,28a8xu1,"Monkey Music","Set 1",14,NULL,NULL,NULL,NULL
07czd5b0,euprusb,Satori,"Set 1",4,NULL,NULL,NULL,NULL
07d37hwo,pow71hm,Rent,"Set 1",8,NULL,NULL,NULL,NULL
07exuv4j,ajn7eyx,"Moon Socket","Set 2",14,NULL,NULL,NULL,NULL
07f7rbdn,i1ndw12,"By the Morning Sun","Set 1",5,NULL,NULL,NULL,NULL
07gyxw1m,0n75mt1,Atlas,"Set 1",2,NULL,NULL,NULL,NULL
07htxc59,11waxqb,20-12,"Set 1",10,NULL,NULL,NULL,NULL
07jbdcbp,4l5p7fz,Surreality,"Set 2",9,NULL,NULL,NULL,NULL
07kpzwb0,0mtfo6b,Dance,"Set 1",3,NULL,NULL,NULL,NULL
07kqf3yx,prfg9r3,"New Dawn, New Day","Set 2",17,NULL,NULL,NULL,NULL
07l7b2tu,k7crtgp,"Musical Story, Yes","Set 1",1,NULL,NULL,NULL,NULL
07qn3iin,u0sxzr0,"... And Some Are Angels","Set 1",5,>,NULL,NULL,NULL
07qtqaz9,2xpcodc,"Frequencies Peace 3","Set 1",11,NULL,NULL,NULL,NULL
07rmt7dq,uouo71m,"Moon Socket","Set 1",3,NULL,NULL,NULL,NULL
07s5w10t,rc9vh1u,"Journey Point ~ Space","Set 1",15,NULL,NULL,NULL,NULL
07sjf03m,0n75mt1,Metameme,"Set 1",7,NULL,NULL,NULL,NULL
07v5a6jl,6o822n0,EHM,"Set 1",4,NULL,NULL,NULL,NULL
083acx99,w8oz9kf,EHM,"Set 1",3,NULL,NULL,NULL,NULL
083jttr9,ue59tiz,STS9,"Set 1",2,NULL,NULL,NULL,NULL
084v2tpk,2zbuil4,Kamuy,"Set 1",10,>,NULL,NULL,NULL
08a9d8z3,6y0gwax,Itzamana,"Axe the Cables",4,NULL,NULL,NULL,NULL
08ad4rcc,jc5z2tv,Simulator,"Set 1",8,NULL,NULL,NULL,NULL
08bdvvey,iqzytcr,EHM,"Set 1",4,NULL,NULL,NULL,NULL
08etgxxw,86atnyu,"What Is Love?",Encore,18,NULL,NULL,NULL,NULL
08fl7vx9,ytbvwjl,Kamuy,"Set 2",14,NULL,NULL,NULL,NULL
08ive6ff,wene4am,"Luma Daylight","Set 2",14,NULL,NULL,NULL,NULL
08nn78si,xxnpev1,Tokyo,"Set 1",9,NULL,NULL,NULL,NULL
08okdxpy,86atnyu,Instantly,"Set 1",2,NULL,NULL,NULL,NULL
08ovpxtz,i1ndw12,"Tap In","Set 2",12,NULL,NULL,NULL,NULL
08qhbmjg,4za81vy,"Mischief of a Sleepwalker","Set 2",9,NULL,NULL,NULL,NULL
08w6o2f7,y4mrovt,Epirus,"Set 1",1,>,NULL,NULL,NULL
08zyt53r,b5zqegf,"Inspire Strikes Back","Set 1",2,NULL,NULL,NULL,NULL
0903otly,zip94lc,Surreality,"Set 2",13,>,NULL,NULL,NULL
09493ggd,7vkdqrv,"Breathe In","Set 1",6,NULL,NULL,NULL,NULL
095tiho9,kte2y2r,EHM,Encore,19,NULL,NULL,NULL,NULL
096wljxb,3wc25bo,"Frequencies Peace 3","Set 1",5,NULL,NULL,NULL,NULL
09adrdye,hx851qz,Orbital,"Set 1",10,>,NULL,NULL,NULL
09bo3hzn,eogkux3,"Music, Us","Set 1",4,NULL,NULL,NULL,NULL
09h7iyyi,a3pqhr0,"Move My Peeps","Set 1",4,NULL,NULL,NULL,NULL
09igcfgx,sloju14,Kabuki,"Set 1",7,NULL,NULL,NULL,NULL
09j64flb,0p05psi,Baraka,"Set 2",11,NULL,NULL,NULL,NULL
09jdz2hi,blunftf,"Hidden Hand, Hidden Fist",Encore,14,NULL,NULL,NULL,NULL
09m4fb5f,5646l1x,"Monkey Music","Set 1",1,NULL,NULL,NULL,NULL
09oswnwv,8yazrmg,Bigs,"Set 1",9,NULL,NULL,NULL,NULL
09r9hlzg,cp2wjor,Kamuy,"Set 2",15,NULL,NULL,NULL,NULL
09sdeasb,pin7860,"When the Dust Settles","Set 1",3,NULL,NULL,NULL,NULL
09tujm0r,x1nqyqj,"Evasive Maneuvers","Set 1",5,NULL,NULL,NULL,NULL
09w64p9a,3t0xa9a,"Music, Us","Set 1",1,NULL,NULL,NULL,NULL
0a2bn642,g6im523,"Just Thanks",Encore,15,NULL,"with William Sharp and Scottrohedron",NULL,"William Sharp, Scottrohedron"
0a6otwgv,49deip1,Kaya,Encore,15,NULL,NULL,NULL,NULL
0a71zq7w,anaheda,Poseidon,"Set 1",5,NULL,NULL,NULL,NULL
0a9tggpf,xa4uwxo,"Beyond Right Now","Set 1",3,NULL,NULL,NULL,NULL
0a9zaydp,qb43o3a,March,"Set 1",2,NULL,NULL,NULL,NULL
0acb7ea1,vmmfiue,Grow,"Set 1",5,NULL,NULL,NULL,NULL
0acxkgjx,vcecjah,"Be Nice","Set 2",10,NULL,NULL,NULL,NULL
0afdshq2,bdyc99l,ReEmergence,"Set 1",7,NULL,NULL,NULL,NULL
0ai8v8pi,bm0hfgq,"We'll Meet in Our Dreams","Set 1",2,NULL,NULL,NULL,NULL
0ajxr1d5,cduxxat,Hubble,"Set 2",18,NULL,NULL,NULL,NULL
0avcphyq,hfnz6hl,Dance,"Set 2",11,NULL,NULL,NULL,NULL
0ax0b32b,rgzk7c8,"Four Year Puma","Set 1",2,NULL,NULL,NULL,NULL
0axxu74y,2zr6oem,Grizzly,"Set 1",6,NULL,NULL,NULL,NULL
0ayo0evi,9ywnnmu,Kamuy,"Set 1",9,NULL,NULL,NULL,NULL
0azjawy4,mo2vriv,Trinocular,"Set 1",1,>,NULL,NULL,NULL
0b06b10b,15pz3oy,Hi-Key,"Set 1",7,NULL,NULL,NULL,NULL
0b0oa9nt,rjbb1t6,ABCees,"Set 1",7,NULL,NULL,NULL,NULL
0bc1dlkz,wr7harq,EHM,"Set 2",14,NULL,NULL,NULL,NULL
0bce7exl,r63ztff,"Blu Mood","Set 1",2,NULL,NULL,NULL,NULL
0bg0zu9k,o9dzllx,Rent,"Set 1",5,NULL,NULL,NULL,NULL
0blqcynk,lhddl29,"Just Thanks","Set 1",1,NULL,NULL,NULL,NULL
0bpqpyzl,798khbf,"Narration ~ Sun Drifts","Set 1",11,NULL,NULL,NULL,NULL
0bx577kr,2smcb1n,"Frequencies Peace 1","Set 1",3,>,NULL,NULL,NULL
0c24m8og,scsbdz2,STS9,"Set 2",12,NULL,NULL,NULL,NULL
0c336jjx,xihrxvv,"Frequencies Peace 2","Set 2",10,>,NULL,NULL,NULL
0cddic9g,tsyegn3,Gobnugget,"Set 2",7,NULL,NULL,NULL,NULL
0cm6hjw8,h7y7yfm,Atlas,Encore,14,NULL,NULL,NULL,NULL
0cnzhcoh,fjp3z7o,Potamus,"Set 1",4,>,NULL,NULL,NULL
0cpx2aiw,fhbyxx8,"You Don't Say","Set 1",5,>,NULL,NULL,NULL
0ctafe7m,ueez419,Surreality,"Set 2",8,>,NULL,NULL,NULL
0cyncmsw,wbxw323,West,"Set 1",16,NULL,NULL,NULL,NULL
0czdcttq,myqs9zc,Modular,"Set 2",9,>,NULL,NULL,NULL
0czt7xjc,62npzu6,"Be Nice","Set 1",1,NULL,NULL,NULL,NULL
0d6zum1p,24hmqff,"Be Pulse","Set 1",6,NULL,NULL,NULL,NULL
0dapl6ga,1e8nnz7,GLOgli,Encore,14,NULL,NULL,NULL,NULL
0dbcnkvt,f7ki44q,STS9,"Set 1",1,NULL,NULL,NULL,NULL
0dbvioqc,ddf7cu6,"Tap In","Set 2",9,NULL,NULL,NULL,NULL
0dc40clf,tv59rai,"Be Nice","Set 1",2,NULL,NULL,NULL,NULL
0di3qipa,7xxysnl,Trinocular,"Set 2",9,>,NULL,NULL,NULL
0dmjgh2y,m7154ox,Kamuy,"Set 1",3,NULL,NULL,NULL,NULL
0dmsd2dc,q89zpw1,"... And Some Are Angels","Set 1",4,NULL,NULL,NULL,NULL
0dn04qp1,n69p431,"Bosso Profundo","Set 1",3,NULL,NULL,NULL,NULL
0doxvi4h,5stbn3c,"Really What?","Set 1",7,NULL,NULL,NULL,NULL
0dtftcbj,rzto2qp,"Hidden Hand, Hidden Fist","Set 1",1,NULL,NULL,NULL,NULL
0dvq10if,ax927hp,"Frequencies Peace 3","Set 2",13,NULL,NULL,NULL,NULL
0dx0e411,jjpgktq,Bigs,"Set 1",5,NULL,NULL,NULL,NULL
0dxzmerg,q7t5hng,Simulator,"Set 1",3,NULL,NULL,NULL,NULL
0dyzuf2n,bm1yzmp,Kaya,"Set 1",7,>,NULL,NULL,NULL
0e1fce9o,3tf05tp,EB,"Set 2",15,NULL,NULL,NULL,NULL
0e3e3jx8,gcok5sp,"Sweat & Concrete","Set 1",9,NULL,NULL,NULL,"Collective Efforts"
0e48j04h,tuas1mf,Somesing,"Set 1",3,NULL,NULL,NULL,NULL
0e80l9fs,kdzgw3c,"This, Us","Set 1",3,NULL,NULL,NULL,NULL
0ede10vm,g6im523,EB,"Set 2",12,NULL,NULL,NULL,NULL
0em9hx55,3trcdk1,"... And Some Are Angels","Set 1",2,NULL,NULL,NULL,NULL
0ev344bh,xj0sfuu,"Crystal Instrument","Set 1",7,NULL,NULL,NULL,NULL
0evphckt,z5uffd9,Rockit,"Set 1",10,>,NULL,"Herbie Hancock",NULL
0ex26xhz,ekrflm4,Arigato,"Set 2",10,>,NULL,NULL,NULL
0eyrdt38,gbm60wb,Kamuy,"Set 2",12,NULL,NULL,NULL,NULL
0eznyr4b,zip94lc,"Moon Socket","Set 2",15,NULL,NULL,NULL,NULL
0ezzosw1,hr86d5k,"One a Day","Set 1",1,NULL,NULL,NULL,NULL
0f08d525,q6zohsp,"Ramone & Emiglio","Set 2",6,NULL,NULL,NULL,NULL
0f0jx90c,16yns4e,Grow,"Set 2",13,>,NULL,NULL,NULL
0f139dud,130uloe,Vapors,"Set 1",7,NULL,NULL,NULL,NULL
0fhy5k3e,kxvf63k,Gobnugget,"Set 2",13,NULL,NULL,NULL,NULL
0fj3nynb,qb43o3a,Vapors,Encore,20,NULL,NULL,NULL,NULL
0fmamtb5,youmql5,"986 Foot Tall Trees","Set 1",3,NULL,NULL,NULL,NULL
0fpuk5w3,kxvf63k,"Click Lang Echo","Set 3",20,>,NULL,NULL,NULL
0fwsmlo5,9cguual,"Beyond Right Now","Set 1",6,NULL,NULL,NULL,NULL
0fymlrjh,lrpdo49,EB,"Set 2",15,NULL,NULL,NULL,NULL
0g17gece,xa4uwxo,"Peaceblaster '68","Set 2",10,>,NULL,NULL,NULL
0g3044x8,oxygw53,"Native End","Set 1",6,>,NULL,NULL,NULL
0g4pxghj,p5in7k1,"Sun, Moon and Stars","Set 2",13,NULL,NULL,NULL,NULL
0g6yipbj,4r2usz0,GLOgli,"Set 1",6,NULL,NULL,NULL,NULL
0gaf7nx6,lwogf7l,"Mischief of a Sleepwalker","Set 1",7,>,NULL,NULL,NULL
0gb3vf4t,tthjtc2,Arp,Encore,13,>,NULL,NULL,NULL
0gdqyepw,18yagxb,"Tap In","Set 2",9,>,NULL,NULL,NULL
0gfhob2i,qaxattv,"Mischief of a Sleepwalker","Set 1",5,NULL,NULL,NULL,NULL
0gjo9e5k,j4bdbka,"The Unquestionable Supremacy of Nature","Set 2",13,NULL,NULL,NULL,NULL
0h0s72bm,lceeawd,"Squares and Cubes","Set 2",13,NULL,NULL,NULL,NULL
0h3rrxid,lrpdo49,"Native End","Set 1",4,>,NULL,NULL,NULL
0h6zs0yu,i1810ti,Somesing,"Set 1",7,NULL,NULL,NULL,NULL
0h85c0g3,z0l17j1,Bigs,"Set 2",7,NULL,NULL,NULL,NULL
0h8p5rcr,z2m2po6,"Moon Socket","Set 1",4,NULL,NULL,NULL,NULL
0h9tdhca,tjnehzm,"The Rabble","Set 1",4,NULL,NULL,NULL,NULL
0hab7q7d,t33ylgd,"Breathe In","Set 2",16,NULL,NULL,NULL,NULL
0halsg8w,txzhihu,Circus,"Set 1",6,NULL,NULL,NULL,NULL
0hbzp5w3,cduxxat,Vibyl,"Set 1",7,NULL,NULL,NULL,NULL
0hgaoc6y,6s3n1a0,"Beyond Right Now","Set 1",10,NULL,NULL,NULL,NULL
0ho4lu8d,w8oz9kf,"The Unquestionable Supremacy of Nature",Encore,14,NULL,NULL,NULL,NULL
0hp9ih8m,8x5m2dd,"When the Dust Settles","Set 2",17,NULL,NULL,NULL,NULL
0hq80cwg,nbfy3p5,"Monkey Music","Set 2",15,NULL,NULL,NULL,NULL
0hxn3y92,svkpmbp,"Open E","Set 2",7,NULL,NULL,NULL,NULL
0hz1pqff,ga50leu,Arigato,"Set 1",1,NULL,NULL,NULL,NULL
0i0995tq,8yazrmg,"Frequencies Peace 3","Set 2",13,NULL,NULL,NULL,NULL
